,Timepoint,Power,holidays,Hour,Days,Month,Temperature,humidity,Wind_speed
0,2009/7/14 0:00,464.058,0,0,14,7,11.8,93,14.4
1,2009/7/14 0:30,400.316,0,0.5,14,7,11.8,91,14.4
2,2009/7/14 1:00,353.643,0,1,14,7,11.8,89,18
3,2009/7/14 1:30,320.181,0,1.5,14,7,11.6,91,18
4,2009/7/14 2:00,293.99,0,2,14,7,11.4,93,10.8
5,2009/7/14 2:30,283.929,0,2.5,14,7,11.05,94.5,10.8
6,2009/7/14 3:00,270.338,0,3,14,7,10.7,96,10.8
7,2009/7/14 3:30,261.528,0,3.5,14,7,10.5,96,10.8
8,2009/7/14 4:00,268.655,0,4,14,7,10.3,96,10.8
9,2009/7/14 4:30,270.878,0,4.5,14,7,10,97.5,10.8
10,2009/7/14 5:00,272.293,0,5,14,7,9.7,99,10.8
11,2009/7/14 5:30,293.699,0,5.5,14,7,11.05,98,10.8
12,2009/7/14 6:00,327.405,0,6,14,7,12.4,97,10.8
13,2009/7/14 6:30,342.894,0,6.5,14,7,13.05,93.5,10.8
14,2009/7/14 7:00,417.854,0,7,14,7,13.7,90,14.4
15,2009/7/14 7:30,490.945,0,7.5,14,7,14.1,87.5,14.4
16,2009/7/14 8:00,583.264,0,8,14,7,14.5,85,14.4
17,2009/7/14 8:30,634.367,0,8.5,14,7,15.4,83.5,14.4
18,2009/7/14 9:00,700.884,0,9,14,7,16.3,82,21.6
19,2009/7/14 9:30,745.994,0,9.5,14,7,15.5,88.5,21.6
20,2009/7/14 10:00,771.912,0,10,14,7,14.7,95,21.6
21,2009/7/14 10:30,766.333,0,10.5,14,7,14.25,95.5,21.6
22,2009/7/14 11:00,820.076,0,11,14,7,13.8,96,14.4
23,2009/7/14 11:30,812.519,0,11.5,14,7,14.3,96,14.4
24,2009/7/14 12:00,848.482,0,12,14,7,14.8,96,18
25,2009/7/14 12:30,861.137,0,12.5,14,7,15.15,92,18
26,2009/7/14 13:00,825.43,0,13,14,7,15.5,88,28.8
27,2009/7/14 13:30,749.543,0,13.5,14,7,15.2,92,28.8
28,2009/7/14 14:00,768.975,0,14,14,7,14.9,96,21.6
29,2009/7/14 14:30,771.54,0,14.5,14,7,14.65,96.5,21.6
30,2009/7/14 15:00,768.311,0,15,14,7,14.4,97,14.4
31,2009/7/14 15:30,781.981,0,15.5,14,7,15.2,92.5,14.4
32,2009/7/14 16:00,823.779,0,16,14,7,16,88,25.2
33,2009/7/14 16:30,869.984,0,16.5,14,7,16.1,86.5,25.2
34,2009/7/14 17:00,950.123,0,17,14,7,16.2,85,25.2
35,2009/7/14 17:30,921.343,0,17.5,14,7,15.7,86.5,25.2
36,2009/7/14 18:00,864.228,0,18,14,7,15.2,88,25.2
37,2009/7/14 18:30,801.874,0,18.5,14,7,15,90.5,25.2
38,2009/7/14 19:00,792.306,0,19,14,7,14.8,93,14.4
39,2009/7/14 19:30,727.873,0,19.5,14,7,14.6,94,14.4
40,2009/7/14 20:00,752.17,0,20,14,7,14.4,95,14.4
41,2009/7/14 20:30,720.101,0,20.5,14,7,14.3,96,14.4
42,2009/7/14 21:00,718.84,0,21,14,7,14.2,97,14.4
43,2009/7/14 21:30,702.975,0,21.5,14,7,13.8,98,14.4
44,2009/7/14 22:00,715.283,0,22,14,7,13.4,99,14.4
45,2009/7/14 22:30,707.73,0,22.5,14,7,13,99.5,14.4
46,2009/7/14 23:00,631.322,0,23,14,7,12.6,100,10.8
47,2009/7/14 23:30,531.176,0,23.5,14,7,12.55,100,10.8
48,2009/7/15 0:00,460.992,0,0,15,7,12.5,100,10.8
49,2009/7/15 0:30,404.433,0,0.5,15,7,11.75,98.5,10.8
50,2009/7/15 1:00,359.787,0,1,15,7,11,97,7.2
51,2009/7/15 1:30,325.888,0,1.5,15,7,9.7,98.5,7.2
52,2009/7/15 2:00,298.059,0,2,15,7,8.4,100,3.6
53,2009/7/15 2:30,283.081,0,2.5,15,7,8.15,100,3.6
54,2009/7/15 3:00,266.651,0,3,15,7,7.9,100,3.6
55,2009/7/15 3:30,266.318,0,3.5,15,7,8.15,100,3.6
56,2009/7/15 4:00,275.491,0,4,15,7,8.4,100,10.8
57,2009/7/15 4:30,272.07,0,4.5,15,7,9.25,100,10.8
58,2009/7/15 5:00,281.522,0,5,15,7,10.1,100,7.2
59,2009/7/15 5:30,275.659,0,5.5,15,7,10.45,100,7.2
60,2009/7/15 6:00,297.502,0,6,15,7,10.8,100,14.4
61,2009/7/15 6:30,339.633,0,6.5,15,7,11.55,100,14.4
62,2009/7/15 7:00,438.82,0,7,15,7,12.3,100,14.4
63,2009/7/15 7:30,500.28,0,7.5,15,7,12.05,100,14.4
64,2009/7/15 8:00,594.566,0,8,15,7,11.8,100,14.4
65,2009/7/15 8:30,666.124,0,8.5,15,7,12.55,100,14.4
66,2009/7/15 9:00,685.587,0,9,15,7,13.3,100,21.6
67,2009/7/15 9:30,734.933,0,9.5,15,7,13.85,95.5,21.6
68,2009/7/15 10:00,775.455,0,10,15,7,14.4,91,14.4
69,2009/7/15 10:30,806.979,0,10.5,15,7,14.85,89,14.4
70,2009/7/15 11:00,790.311,0,11,15,7,15.3,87,21.6
71,2009/7/15 11:30,779.214,0,11.5,15,7,16,83.5,21.6
72,2009/7/15 12:00,791.175,0,12,15,7,16.7,80,21.6
73,2009/7/15 12:30,821.308,0,12.5,15,7,17.95,73,21.6
74,2009/7/15 13:00,817.917,0,13,15,7,19.2,66,21.6
75,2009/7/15 13:30,778.295,0,13.5,15,7,18.85,69.5,21.6
76,2009/7/15 14:00,760.05,0,14,15,7,18.5,73,21.6
77,2009/7/15 14:30,735.189,0,14.5,15,7,18.8,73,21.6
78,2009/7/15 15:00,736.003,0,15,15,7,19.1,73,18
79,2009/7/15 15:30,752.514,0,15.5,15,7,18,80,18
80,2009/7/15 16:00,780.788,0,16,15,7,16.9,87,18
81,2009/7/15 16:30,802.662,0,16.5,15,7,18.15,75,18
82,2009/7/15 17:00,886.168,0,17,15,7,19.4,63,14.4
