,Power,Timepoint,holidays,Hour,Days,Month,Temperature,humidity,Wind_speed
0,322.546,1,0,0,14,7,11.8,93,14.4
1,279.998,2,0,0.5,14,7,11.8,91,14.4
2,245.9,3,0,1,14,7,11.8,89,18
3,219.626,4,0,1.5,14,7,11.6,91,18
4,204.403,5,0,2,14,7,11.4,93,10.8
5,195.551,6,0,2.5,14,7,11.05,94.5,10.8
6,186.719,7,0,3,14,7,10.7,96,10.8
7,179.637,8,0,3.5,14,7,10.5,96,10.8
8,184.383,9,0,4,14,7,10.3,96,10.8
9,186.116,10,0,4.5,14,7,10,97.5,10.8
10,181.466,11,0,5,14,7,9.7,99,10.8
11,201.237,12,0,5.5,14,7,11.05,98,10.8
12,222.532,13,0,6,14,7,12.4,97,10.8
13,239.493,14,0,6.5,14,7,13.05,93.5,10.8
14,274.179,15,0,7,14,7,13.7,90,14.4
15,312.92,16,0,7.5,14,7,14.1,87.5,14.4
16,372.205,17,0,8,14,7,14.5,85,14.4
17,402.414,18,0,8.5,14,7,15.4,83.5,14.4
18,455.5,19,0,9,14,7,16.3,82,21.6
19,478.573,20,0,9.5,14,7,15.5,88.5,21.6
20,471.348,21,0,10,14,7,14.7,95,21.6
21,470.507,22,0,10.5,14,7,14.25,95.5,21.6
22,532.539,23,0,11,14,7,13.8,96,14.4
23,514.019,24,0,11.5,14,7,14.3,96,14.4
24,534.447,25,0,12,14,7,14.8,96,18
25,570.434,26,0,12.5,14,7,15.15,92,18
26,535.457,27,0,13,14,7,15.5,88,28.8
27,490.99,28,0,13.5,14,7,15.2,92,28.8
28,479.063,29,0,14,14,7,14.9,96,21.6
29,482.225,30,0,14.5,14,7,14.65,96.5,21.6
30,479.476,31,0,15,14,7,14.4,97,14.4
31,496.428,32,0,15.5,14,7,15.2,92.5,14.4
32,530.968,33,0,16,14,7,16,88,25.2
33,546.952,34,0,16.5,14,7,16.1,86.5,25.2
34,594.732,35,0,17,14,7,16.2,85,25.2
35,592.029,36,0,17.5,14,7,15.7,86.5,25.2
36,579.434,37,0,18,14,7,15.2,88,25.2
37,538.495,38,0,18.5,14,7,15,90.5,25.2
38,543.94,39,0,19,14,7,14.8,93,14.4
39,501.76,40,0,19.5,14,7,14.6,94,14.4
40,523.303,41,0,20,14,7,14.4,95,14.4
41,505.733,42,0,20.5,14,7,14.3,96,14.4
