,Line,Date,Power,Timepoint,holidays,Hour,Days,Month,Temperature,humiduity,Wind_speed
0,1139,19501,0.089,1,0,0,14,7,11.8,93,14.4
1,1139,19502,0.067,2,0,0.5,14,7,11.8,91,14.4
2,1139,19503,0.214,3,0,1,14,7,11.8,89,18
3,1139,19504,0.121,4,0,1.5,14,7,11.6,91,18
4,1139,19505,0.066,5,0,2,14,7,11.4,93,10.8
5,1139,19506,0.121,6,0,2.5,14,7,11.05,94.5,10.8
6,1139,19507,0.219,7,0,3,14,7,10.7,96,10.8
7,1139,19508,0.067,8,0,3.5,14,7,10.5,96,10.8
8,1139,19509,0.067,9,0,4,14,7,10.3,96,10.8
9,1139,19510,0.135,10,0,4.5,14,7,10,97.5,10.8
10,1139,19511,0.216,11,0,5,14,7,9.7,99,10.8
11,1139,19512,0.069,12,0,5.5,14,7,11.05,98,10.8
12,1139,19513,0.069,13,0,6,14,7,12.4,97,10.8
13,1139,19514,0.114,14,0,6.5,14,7,13.05,93.5,10.8
14,1139,19515,0.224,15,0,7,14,7,13.7,90,14.4
15,1139,19516,0.076,16,0,7.5,14,7,14.1,87.5,14.4
16,1139,19517,0.082,17,0,8,14,7,14.5,85,14.4
17,1139,19518,2.64,18,0,8.5,14,7,15.4,83.5,14.4
18,1139,19519,3.182,19,0,9,14,7,16.3,82,21.6
19,1139,19520,1.336,20,0,9.5,14,7,15.5,88.5,21.6
20,1139,19521,0.454,21,0,10,14,7,14.7,95,21.6
21,1139,19522,1.242,22,0,10.5,14,7,14.25,95.5,21.6
22,1139,19523,0.517,23,0,11,14,7,13.8,96,14.4
23,1139,19524,0.176,24,0,11.5,14,7,14.3,96,14.4
24,1139,19525,0.186,25,0,12,14,7,14.8,96,18
25,1139,19526,0.25,26,0,12.5,14,7,15.15,92,18
26,1139,19527,0.147,27,0,13,14,7,15.5,88,28.8
27,1139,19528,0.345,28,0,13.5,14,7,15.2,92,28.8
28,1139,19529,0.827,29,0,14,14,7,14.9,96,21.6
29,1139,19530,2.674,30,0,14.5,14,7,14.65,96.5,21.6
30,1139,19531,4.514,31,0,15,14,7,14.4,97,14.4
