,Line,Date,Power,Days,holidays,Hour,Days,Month,Temperature,humiduity,Wind_speed
0,1580,19501,0.129,1,0,0.0,14,7,11.8,93.0,14.4
1,1580,19502,0.264,2,0,0.5,14,7,11.8,91.0,14.4
2,1580,19503,0.325,3,0,1.0,14,7,11.8,89.0,18.0
3,1580,19504,0.266,4,0,1.5,14,7,11.6,91.0,18.0
4,1580,19505,0.207,5,0,2.0,14,7,11.4,93.0,10.8
5,1580,19506,0.212,6,0,2.5,14,7,11.05,94.5,10.8
6,1580,19507,0.162,7,0,3.0,14,7,10.7,96.0,10.8
7,1580,19508,0.223,8,0,3.5,14,7,10.5,96.0,10.8
8,1580,19509,0.14,9,0,4.0,14,7,10.3,96.0,10.8
9,1580,19510,0.242,10,0,4.5,14,7,10.0,97.5,10.8
10,1580,19511,0.133,11,0,5.0,14,7,9.7,99.0,10.8
11,1580,19512,0.202,12,0,5.5,14,7,11.05,98.0,10.8
12,1580,19513,0.208,13,0,6.0,14,7,12.4,97.0,10.8
13,1580,19514,0.165,14,0,6.5,14,7,13.05,93.5,10.8
14,1580,19515,0.193,15,0,7.0,14,7,13.7,90.0,14.4
15,1580,19516,0.176,16,0,7.5,14,7,14.1,87.5,14.4
16,1580,19517,0.178,17,0,8.0,14,7,14.5,85.0,14.4
17,1580,19518,0.209,18,0,8.5,14,7,15.4,83.5,14.4
18,1580,19519,0.165,19,0,9.0,14,7,16.3,82.0,21.6
19,1580,19520,0.202,20,0,9.5,14,7,15.5,88.5,21.6
20,1580,19521,0.155,21,0,10.0,14,7,14.7,95.0,21.6
21,1580,19522,0.209,22,0,10.5,14,7,14.25,95.5,21.6
22,1580,19523,0.188,23,0,11.0,14,7,13.8,96.0,14.4
23,1580,19524,0.154,24,0,11.5,14,7,14.3,96.0,14.4
24,1580,19525,0.217,25,0,12.0,14,7,14.8,96.0,18.0
25,1580,19526,0.136,26,0,12.5,14,7,15.15,92.0,18.0
26,1580,19527,0.226,27,0,13.0,14,7,15.5,88.0,28.8
27,1580,19528,0.17,28,0,13.5,14,7,15.2,92.0,28.8
28,1580,19529,0.203,29,0,14.0,14,7,14.9,96.0,21.6
29,1580,19530,0.177,30,0,14.5,14,7,14.65,96.5,21.6
30,1580,19531,0.187,31,0,15.0,14,7,14.4,97.0,14.4
31,1580,19532,0.2,32,0,15.5,14,7,15.2,92.5,14.4
32,1580,19533,0.187,33,0,16.0,14,7,16.0,88.0,25.2
33,1580,19534,0.172,34,0,16.5,14,7,16.1,86.5,25.2
34,1580,19535,0.22,35,0,17.0,14,7,16.2,85.0,25.2
35,1580,19536,0.132,36,0,17.5,14,7,15.7,86.5,25.2
36,1580,19537,0.242,37,0,18.0,14,7,15.2,88.0,25.2
37,1580,19538,0.139,38,0,18.5,14,7,15.0,90.5,25.2
38,1580,19539,0.216,39,0,19.0,14,7,14.8,93.0,14.4
39,1580,19540,0.174,40,0,19.5,14,7,14.6,94.0,14.4
40,1580,19541,0.207,41,0,20.0,14,7,14.4,95.0,14.4
41,1580,19542,0.191,42,0,20.5,14,7,14.3,96.0,14.4
42,1580,19543,0.264,43,0,21.0,14,7,14.2,97.0,14.4
43,1580,19544,0.321,44,0,21.5,14,7,13.8,98.0,14.4
44,1580,19545,0.273,45,0,22.0,14,7,13.4,99.0,14.4
45,1580,19546,0.148,46,0,22.5,14,7,13.0,99.5,14.4
46,1580,19547,0.23,47,0,23.0,14,7,12.6,100.0,10.8
47,1580,19548,0.155,48,0,23.5,14,7,12.55,100.0,10.8
48,1580,19601,0.205,1,0,0.0,15,7,12.5,100.0,10.8
49,1580,19602,0.191,2,0,0.5,15,7,11.75,98.5,10.8
50,1580,19603,0.187,3,0,1.0,15,7,11.0,97.0,7.2
51,1580,19604,0.189,4,0,1.5,15,7,9.7,98.5,7.2
52,1580,19605,0.172,5,0,2.0,15,7,8.4,100.0,3.6
53,1580,19606,0.206,6,0,2.5,15,7,8.15,100.0,3.6
54,1580,19607,0.17,7,0,3.0,15,7,7.9,100.0,3.6
55,1580,19608,0.18,8,0,3.5,15,7,8.15,100.0,3.6
56,1580,19609,0.214,9,0,4.0,15,7,8.4,100.0,10.8
57,1580,19610,0.131,10,0,4.5,15,7,9.25,100.0,10.8
58,1580,19611,0.238,11,0,5.0,15,7,10.1,100.0,7.2
59,1580,19612,0.138,12,0,5.5,15,7,10.45,100.0,7.2
60,1580,19613,0.223,13,0,6.0,15,7,10.8,100.0,14.4
61,1580,19614,0.15,14,0,6.5,15,7,11.55,100.0,14.4
62,1580,19615,0.204,15,0,7.0,15,7,12.3,100.0,14.4
63,1580,19616,0.192,16,0,7.5,15,7,12.05,100.0,14.4
64,1580,19617,0.168,17,0,8.0,15,7,11.8,100.0,14.4
65,1580,19618,0.192,18,0,8.5,15,7,12.55,100.0,14.4
66,1580,19619,0.197,19,0,9.0,15,7,13.3,100.0,21.6
67,1580,19620,0.15,20,0,9.5,15,7,13.85,95.5,21.6
68,1580,19621,0.233,21,0,10.0,15,7,14.4,91.0,14.4
69,1580,19622,0.14,22,0,10.5,15,7,14.85,89.0,14.4
70,1580,19623,0.223,23,0,11.0,15,7,15.3,87.0,21.6
71,1580,19624,0.13,24,0,11.5,15,7,16.0,83.5,21.6
72,1580,19625,0.216,25,0,12.0,15,7,16.7,80.0,21.6
73,1580,19626,0.157,26,0,12.5,15,7,17.95,73.0,21.6
74,1580,19627,0.188,27,0,13.0,15,7,19.2,66.0,21.6
75,1580,19628,0.212,28,0,13.5,15,7,18.85,69.5,21.6
76,1580,19629,0.172,29,0,14.0,15,7,18.5,73.0,21.6
77,1580,19630,0.183,30,0,14.5,15,7,18.8,73.0,21.6
78,1580,19631,0.194,31,0,15.0,15,7,19.1,73.0,18.0
79,1580,19632,0.172,32,0,15.5,15,7,18.0,80.0,18.0
80,1580,19633,0.225,33,0,16.0,15,7,16.9,87.0,18.0
81,1580,19634,0.145,34,0,16.5,15,7,18.15,75.0,18.0
82,1580,19635,0.234,35,0,17.0,15,7,19.4,63.0,14.4
83,1580,19636,0.312,36,0,17.5,15,7,19.05,66.5,14.4
84,1580,19637,0.29,37,0,18.0,15,7,18.7,70.0,10.8
85,1580,19638,0.257,38,0,18.5,15,7,18.5,70.0,10.8
86,1580,19639,0.978,39,0,19.0,15,7,18.3,70.0,21.6
87,1580,19640,1.349,40,0,19.5,15,7,17.35,73.0,21.6
88,1580,19641,1.609,41,0,20.0,15,7,16.4,76.0,10.8
89,1580,19642,0.227,42,0,20.5,15,7,14.8,81.5,10.8
90,1580,19643,0.305,43,0,21.0,15,7,13.2,87.0,10.8
91,1580,19644,0.227,44,0,21.5,15,7,13.95,84.0,10.8
92,1580,19645,0.289,45,0,22.0,15,7,14.7,81.0,10.8
93,1580,19646,0.266,46,0,22.5,15,7,14.2,81.5,10.8
94,1580,19647,0.254,47,0,23.0,15,7,13.7,82.0,14.4
95,1580,19648,0.284,48,0,23.5,15,7,13.2,83.5,14.4
96,1580,19701,0.242,1,0,0.0,16,7,12.7,85.0,7.2
97,1580,19702,0.304,2,0,0.5,16,7,12.45,87.0,7.2
98,1580,19703,0.209,3,0,1.0,16,7,12.2,89.0,14.4
99,1580,19704,0.31,4,0,1.5,16,7,12.1,89.5,14.4
100,1580,19705,0.232,5,0,2.0,16,7,12.0,90.0,14.4
101,1580,19706,0.297,6,0,2.5,16,7,11.95,90.5,14.4
102,1580,19707,0.237,7,0,3.0,16,7,11.9,91.0,18.0
103,1580,19708,0.291,8,0,3.5,16,7,11.8,91.5,18.0
104,1580,19709,0.265,9,0,4.0,16,7,11.7,92.0,14.4
105,1580,19710,0.257,10,0,4.5,16,7,11.8,92.0,14.4
106,1580,19711,0.28,11,0,5.0,16,7,11.9,92.0,14.4
107,1580,19712,0.257,12,0,5.5,16,7,12.2,91.0,14.4
108,1580,19713,0.292,13,0,6.0,16,7,12.5,90.0,18.0
109,1580,19714,0.224,14,0,6.5,16,7,12.7,89.5,18.0
110,1580,19715,0.29,15,0,7.0,16,7,12.9,89.0,18.0
111,1580,19716,0.281,16,0,7.5,16,7,13.95,85.5,18.0
112,1580,19717,0.209,17,0,8.0,16,7,15.0,82.0,14.4
113,1580,19718,0.294,18,0,8.5,16,7,14.9,80.0,14.4
114,1580,19719,0.258,19,0,9.0,16,7,14.8,78.0,10.8
115,1580,19720,0.272,20,0,9.5,16,7,15.35,75.5,10.8
116,1580,19721,0.264,21,0,10.0,16,7,15.9,73.0,10.8
117,1580,19722,0.247,22,0,10.5,16,7,16.55,68.5,10.8
118,1580,19723,0.299,23,0,11.0,16,7,17.2,64.0,10.8
119,1580,19724,0.228,24,0,11.5,16,7,16.6,68.5,10.8
120,1580,19725,0.302,25,0,12.0,16,7,16.0,73.0,18.0
121,1580,19726,0.379,26,0,12.5,16,7,15.8,74.0,18.0
122,1580,19727,0.376,27,0,13.0,16,7,15.6,75.0,18.0
123,1580,19728,0.313,28,0,13.5,16,7,16.15,73.0,18.0
124,1580,19729,0.254,29,0,14.0,16,7,16.7,71.0,14.4
125,1580,19730,0.259,30,0,14.5,16,7,16.7,69.5,14.4
126,1580,19731,0.3,31,0,15.0,16,7,16.7,68.0,14.4
127,1580,19732,0.23,32,0,15.5,16,7,16.6,70.0,14.4
128,1580,19733,0.302,33,0,16.0,16,7,16.5,72.0,14.4
129,1580,19734,0.213,34,0,16.5,16,7,16.4,73.0,14.4
130,1580,19735,0.317,35,0,17.0,16,7,16.3,74.0,10.8
131,1580,19736,0.21,36,0,17.5,16,7,15.85,75.0,10.8
132,1580,19737,0.3,37,0,18.0,16,7,15.4,76.0,10.8
133,1580,19738,0.249,38,0,18.5,16,7,14.65,81.5,10.8
134,1580,19739,0.28,39,0,19.0,16,7,13.9,87.0,3.6
135,1580,19740,0.269,40,0,19.5,16,7,13.4,90.5,3.6
136,1580,19741,0.263,41,0,20.0,16,7,12.9,94.0,3.6
137,1580,19742,0.291,42,0,20.5,16,7,12.7,94.5,3.6
138,1580,19743,0.235,43,0,21.0,16,7,12.5,95.0,10.8
139,1580,19744,0.299,44,0,21.5,16,7,12.4,95.5,10.8
140,1580,19745,0.241,45,0,22.0,16,7,12.3,96.0,7.2
141,1580,19746,0.311,46,0,22.5,16,7,12.35,94.5,7.2
142,1580,19747,0.208,47,0,23.0,16,7,12.4,93.0,10.8
143,1580,19748,0.309,48,0,23.5,16,7,12.45,92.0,10.8
144,1580,19801,0.221,1,0,0.0,17,7,12.5,91.0,18.0
145,1580,19802,0.305,2,0,0.5,17,7,12.2,92.5,18.0
146,1580,19803,0.22,3,0,1.0,17,7,11.9,94.0,14.4
147,1580,19804,0.312,4,0,1.5,17,7,11.75,94.5,14.4
148,1580,19805,0.237,5,0,2.0,17,7,11.6,95.0,14.4
149,1580,19806,0.277,6,0,2.5,17,7,11.7,95.0,14.4
150,1580,19807,0.255,7,0,3.0,17,7,11.8,95.0,18.0
151,1580,19808,0.272,8,0,3.5,17,7,12.0,94.5,18.0
152,1580,19809,0.263,9,0,4.0,17,7,12.2,94.0,21.6
153,1580,19810,0.248,10,0,4.5,17,7,12.15,93.0,21.6
154,1580,19811,0.268,11,0,5.0,17,7,12.1,92.0,25.2
155,1580,19812,0.295,12,0,5.5,17,7,12.35,91.0,25.2
156,1580,19813,0.208,13,0,6.0,17,7,12.6,90.0,28.8
157,1580,19814,0.305,14,0,6.5,17,7,13.25,86.0,28.8
158,1580,19815,0.224,15,0,7.0,17,7,13.9,82.0,32.4
159,1580,19816,0.346,16,0,7.5,17,7,14.3,80.0,32.4
160,1580,19817,0.412,17,0,8.0,17,7,14.7,78.0,28.8
161,1580,19818,0.342,18,0,8.5,17,7,15.1,73.5,28.8
162,1580,19819,0.258,19,0,9.0,17,7,15.5,69.0,39.6
163,1580,19820,0.299,20,0,9.5,17,7,16.15,67.5,39.6
164,1580,19821,0.209,21,0,10.0,17,7,16.8,66.0,43.2
165,1580,19822,0.317,22,0,10.5,17,7,17.45,64.0,43.2
166,1580,19823,0.211,23,0,11.0,17,7,18.1,62.0,32.4
167,1580,19824,0.301,24,0,11.5,17,7,17.85,61.5,32.4
168,1580,19825,0.23,25,0,12.0,17,7,17.6,61.0,39.6
169,1580,19826,0.295,26,0,12.5,17,7,17.15,65.0,39.6
170,1580,19827,0.25,27,0,13.0,17,7,16.7,69.0,32.4
171,1580,19828,0.259,28,0,13.5,17,7,16.55,68.0,32.4
172,1580,19829,0.271,29,0,14.0,17,7,16.4,67.0,32.4
173,1580,19830,0.257,30,0,14.5,17,7,17.1,64.5,32.4
174,1580,19831,0.29,31,0,15.0,17,7,17.8,62.0,28.8
175,1580,19832,0.222,32,0,15.5,17,7,17.6,63.0,28.8
176,1580,19833,0.314,33,0,16.0,17,7,17.4,64.0,36.0
177,1580,19834,0.216,34,0,16.5,17,7,18.0,64.0,36.0
178,1580,19835,0.306,35,0,17.0,17,7,18.6,64.0,32.4
179,1580,19836,0.213,36,0,17.5,17,7,18.05,64.0,32.4
180,1580,19837,0.319,37,0,18.0,17,7,17.5,64.0,28.8
181,1580,19838,0.239,38,0,18.5,17,7,17.0,63.5,28.8
182,1580,19839,0.274,39,0,19.0,17,7,16.5,63.0,28.8
183,1580,19840,0.285,40,0,19.5,17,7,15.7,66.0,28.8
184,1580,19841,0.26,41,0,20.0,17,7,14.9,69.0,21.6
185,1580,19842,0.305,42,0,20.5,17,7,14.25,71.5,21.6
186,1580,19843,0.226,43,0,21.0,17,7,13.6,74.0,25.2
187,1580,19844,0.309,44,0,21.5,17,7,12.7,79.0,25.2
188,1580,19845,0.205,45,0,22.0,17,7,11.8,84.0,18.0
189,1580,19846,0.323,46,0,22.5,17,7,11.4,85.5,18.0
190,1580,19847,0.25,47,0,23.0,17,7,11.0,87.0,21.6
191,1580,19848,0.283,48,0,23.5,17,7,10.5,90.0,21.6
192,1580,19901,0.27,1,0,0.0,18,7,10.0,93.0,21.6
193,1580,19902,0.259,2,0,0.5,18,7,10.0,93.5,21.6
194,1580,19903,0.281,3,0,1.0,18,7,10.0,94.0,18.0
195,1580,19904,0.245,4,0,1.5,18,7,9.8,94.5,18.0
196,1580,19905,0.303,5,0,2.0,18,7,9.6,95.0,18.0
197,1580,19906,0.383,6,0,2.5,18,7,9.5,96.0,18.0
198,1580,19907,0.383,7,0,3.0,18,7,9.4,97.0,21.6
199,1580,19908,0.307,8,0,3.5,18,7,9.4,98.0,21.6
200,1580,19909,0.258,9,0,4.0,18,7,9.4,99.0,18.0
201,1580,19910,0.276,10,0,4.5,18,7,9.75,99.0,18.0
202,1580,19911,0.285,11,0,5.0,18,7,10.1,99.0,14.4
203,1580,19912,0.229,12,0,5.5,18,7,10.65,99.0,14.4
204,1580,19913,0.321,13,0,6.0,18,7,11.2,99.0,14.4
205,1580,19914,0.206,14,0,6.5,18,7,11.7,97.5,14.4
206,1580,19915,0.3,15,0,7.0,18,7,12.2,96.0,21.6
207,1580,19916,0.222,16,0,7.5,18,7,12.9,92.5,21.6
208,1580,19917,0.304,17,0,8.0,18,7,13.6,89.0,21.6
209,1580,19918,0.22,18,0,8.5,18,7,13.55,90.5,21.6
210,1580,19919,0.301,19,0,9.0,18,7,13.5,92.0,21.6
211,1580,19920,0.235,20,0,9.5,18,7,13.7,90.0,21.6
212,1580,19921,0.275,21,0,10.0,18,7,13.9,88.0,18.0
213,1580,19922,0.261,22,0,10.5,18,7,14.85,79.5,18.0
214,1580,19923,0.269,23,0,11.0,18,7,15.8,71.0,25.2
215,1580,19924,0.268,24,0,11.5,18,7,14.95,80.0,25.2
216,1580,19925,0.246,25,0,12.0,18,7,14.1,89.0,21.6
217,1580,19926,0.257,26,0,12.5,18,7,14.15,86.0,21.6
218,1580,19927,0.3,27,0,13.0,18,7,14.2,83.0,28.8
219,1580,19928,0.206,28,0,13.5,18,7,14.4,81.0,28.8
220,1580,19929,0.303,29,0,14.0,18,7,14.6,79.0,21.6
221,1580,19930,0.243,30,0,14.5,18,7,14.85,77.5,21.6
222,1580,19931,0.284,31,0,15.0,18,7,15.1,76.0,14.4
223,1580,19932,0.255,32,0,15.5,18,7,15.3,74.0,14.4
224,1580,19933,0.269,33,0,16.0,18,7,15.5,72.0,25.2
225,1580,19934,0.283,34,0,16.5,18,7,15.7,70.5,25.2
226,1580,19935,0.24,35,0,17.0,18,7,15.9,69.0,25.2
227,1580,19936,0.291,36,0,17.5,18,7,15.55,70.5,25.2
228,1580,19937,0.237,37,0,18.0,18,7,15.2,72.0,21.6
229,1580,19938,0.305,38,0,18.5,18,7,15.05,73.5,21.6
230,1580,19939,0.209,39,0,19.0,18,7,14.9,75.0,14.4
231,1580,19940,0.323,40,0,19.5,18,7,14.3,79.0,14.4
232,1580,19941,0.214,41,0,20.0,18,7,13.7,83.0,10.8
233,1580,19942,0.299,42,0,20.5,18,7,13.55,85.5,10.8
234,1580,19943,0.24,43,0,21.0,18,7,13.4,88.0,14.4
235,1580,19944,0.352,44,0,21.5,18,7,13.15,91.0,14.4
236,1580,19945,0.394,45,0,22.0,18,7,12.9,94.0,14.4
237,1580,19946,0.354,46,0,22.5,18,7,12.8,95.0,14.4
238,1580,19947,0.246,47,0,23.0,18,7,12.7,96.0,10.8
239,1580,19948,0.31,48,0,23.5,18,7,12.55,97.5,10.8
240,1580,20001,0.21,1,0,0.0,19,7,12.4,99.0,10.8
241,1580,20002,0.312,2,0,0.5,19,7,12.3,99.0,10.8
242,1580,20003,0.239,3,0,1.0,19,7,12.2,99.0,10.8
243,1580,20004,0.282,4,0,1.5,19,7,12.15,99.0,10.8
244,1580,20005,0.252,5,0,2.0,19,7,12.1,99.0,7.2
245,1580,20006,0.278,6,0,2.5,19,7,11.95,99.5,7.2
246,1580,20007,0.268,7,0,3.0,19,7,11.8,100.0,10.8
247,1580,20008,0.246,8,0,3.5,19,7,11.8,100.0,10.8
248,1580,20009,0.297,9,0,4.0,19,7,11.8,100.0,7.2
249,1580,20010,0.235,10,0,4.5,19,7,11.45,100.0,7.2
250,1580,20011,0.279,11,0,5.0,19,7,11.1,100.0,7.2
251,1580,20012,0.277,12,0,5.5,19,7,11.1,100.0,7.2
252,1580,20013,0.229,13,0,6.0,19,7,11.1,100.0,10.8
253,1580,20014,0.295,14,0,6.5,19,7,11.5,100.0,10.8
254,1580,20015,0.232,15,0,7.0,19,7,11.9,100.0,10.8
255,1580,20016,0.281,16,0,7.5,19,7,12.35,98.0,10.8
256,1580,20017,0.259,17,0,8.0,19,7,12.8,96.0,14.4
257,1580,20018,0.256,18,0,8.5,19,7,13.35,93.5,14.4
258,1580,20019,0.268,19,0,9.0,19,7,13.9,91.0,14.4
259,1580,20020,0.247,20,0,9.5,19,7,14.55,84.5,14.4
260,1580,20021,0.288,21,0,10.0,19,7,15.2,78.0,14.4
261,1580,20022,0.226,22,0,10.5,19,7,15.55,77.5,14.4
262,1580,20023,0.273,23,0,11.0,19,7,15.9,77.0,18.0
263,1580,20024,0.277,24,0,11.5,19,7,15.65,79.0,18.0
264,1580,20025,0.222,25,0,12.0,19,7,15.4,81.0,21.6
265,1580,20026,0.292,26,0,12.5,19,7,15.25,77.5,21.6
266,1580,20027,0.235,27,0,13.0,19,7,15.1,74.0,14.4
267,1580,20028,0.283,28,0,13.5,19,7,15.75,71.5,14.4
268,1580,20029,0.271,29,0,14.0,19,7,16.4,69.0,32.4
269,1580,20030,0.255,30,0,14.5,19,7,15.1,77.0,32.4
270,1580,20031,0.283,31,0,15.0,19,7,13.8,85.0,28.8
271,1580,20032,0.245,32,0,15.5,19,7,13.3,88.5,28.8
272,1580,20033,0.311,33,0,16.0,19,7,12.8,92.0,28.8
